,TR,CRI,StdStd
p01,5.425752788,2.488500021,2.343406491
p02,6.559944743,3.175324309,2.162603734
p03,3.762191652,1.593682206,1.993838695
p04,6.770928223,3.071179114,2.265738463
p05,3.936277996,1.434751816,1.610226628
p06,5.62383222,2.424712273,2.393691022
p07,5.120683119,2.731367319,2.790856466
p08,3.690166349,1.69505534,1.619465008
p09,5.213501752,2.18914702,2.125845741
p10,6.172672261,2.658323602,2.836784668
p11,6.67895742,3.172567547,2.228512038
p12,8.084334574,2.860521776,2.230211534
p13,5.963606928,2.291481548,2.147068336
p14,4.902550379,1.953231095,1.726721043
p15,8.285256917,3.582192576,2.615716415
p16,6.568037757,2.788469433,2.524352602
p17,5.240838046,1.471203527,1.469569417
p18,5.776387959,3.345402726,1.754660815
p19,5.500917705,2.543337934,1.857472617
p20,8.76290226,2.450815823,2.585507025
