"","p01","p02","p03","p04","p05","p06","p07","p08","p09","p10","p11","p12","p13","p14","p15","p16","p17","p18","p19","p20"
"p01",0,2.98123838467255,3.05239991180096,3.54693255027179,3.99156097665299,3.8365657025754,5.5508761307796,3.74335740106331,4.17226705619743,4.57523174538164,5.13763590351707,3.65505031659514,4.23005617297881,3.59668701683744,6.29331949818081,4.37938932715727,3.78623248371376,4.13998499698554,4.08512749377189,4.01565582440809
"p02",2.98123838467255,0,2.91615387998863,3.69764130776337,3.77237223935628,3.45606404199522,5.58374904836623,3.56666127057513,3.92250821144317,4.30106777316032,5.08945695517333,3.82755223793174,4.20836766805565,3.52388172764858,5.94863832511061,3.97484125157921,3.87704706707761,3.86097334916681,3.56781505585925,3.50014220651823
"p03",3.05239991180096,2.91615387998863,0,3.17095096991177,3.47453031988025,3.24384876548093,5.15274609271918,3.40417678098093,3.47107394757923,4.08931311523774,4.77561813260787,3.26607081075235,3.40904562977987,3.35965249543776,5.86172277812845,4.19070003073269,3.44041909816203,3.71039555181753,3.41076545253558,3.34061949799882
"p04",3.54693255027179,3.69764130776337,3.17095096991177,0,3.34016212186017,3.55029927488608,5.19844353435478,3.42432389522127,3.68338751858604,3.87801341709984,4.91454785735214,3.53359078149487,3.63420281492613,3.76752391451749,6.10583559210219,4.75351581853009,3.60515992550705,4.19677976758365,3.87642108511637,3.82020487443966
"p05",3.99156097665299,3.77237223935628,3.47453031988025,3.34016212186017,0,3.89387815059007,5.73032909575975,3.97008907629413,3.84411932410118,3.84692981113135,5.16672831791972,3.88703393490924,3.93236913751077,3.58274241062831,6.00649183074803,4.6445915722559,3.49149550384044,4.35234356627496,3.90524559624284,3.86794187826651
"p06",3.8365657025754,3.45606404199522,3.24384876548093,3.55029927488608,3.89387815059007,0,5.08345724209172,3.38609206544488,3.43056586363265,4.26721381272506,4.54864703888645,3.83290808970137,4.15648758620785,3.6159759636347,6.27867667128677,4.5416024412639,3.92221629130795,4.04073927488812,3.85197006634487,4.01076027657787
"p07",5.5508761307796,5.58374904836623,5.15274609271918,5.19844353435478,5.73032909575975,5.08345724209172,0,4.82242671165635,5.21350562892912,6.00707473057335,5.98425015732318,5.51479568421615,5.57521314412716,5.34377667861943,7.63710412912058,6.08392313421194,5.51413631564852,5.56891668401759,5.52474545807554,5.57517069443554
"p08",3.74335740106331,3.56666127057513,3.40417678098093,3.42432389522127,3.97008907629413,3.38609206544488,4.82242671165635,0,3.36947328053628,4.06204161661863,3.91232222363751,3.747497629813,3.80757863748385,3.43069095101356,6.16709153370911,4.50943740498708,3.83460484062163,4.20968663860203,3.85229817204963,3.72436818661821
"p09",4.17226705619743,3.92250821144317,3.47107394757923,3.68338751858604,3.84411932410118,3.43056586363265,5.21350562892912,3.36947328053628,0,4.15678171039115,4.91799759877825,3.71391714900459,4.27823483247989,3.49273899660904,6.22874116799161,4.80430550935488,3.7703976206827,4.3934954605417,3.82434232347275,3.74715817150075
"p10",4.57523174538164,4.30106777316032,4.08931311523774,3.87801341709984,3.84692981113135,4.26721381272506,6.00707473057335,4.06204161661863,4.15678171039115,0,5.25799046973237,4.50073268082131,4.39996770776611,4.155655472038,6.19090438894329,5.02086789928435,4.33852467783555,4.92671484401745,4.38739965842616,4.24064290928952
"p11",5.13763590351707,5.08945695517333,4.77561813260787,4.91454785735214,5.16672831791972,4.54864703888645,5.98425015732318,3.91232222363751,4.91799759877825,5.25799046973237,0,5.47033041854254,4.78961839255701,4.32934981355145,6.81888944341055,5.4520140436104,5.15853470849335,4.87123033577934,4.72404343953185,5.23716852827673
"p12",3.65505031659514,3.82755223793174,3.26607081075235,3.53359078149487,3.88703393490924,3.83290808970137,5.51479568421615,3.747497629813,3.71391714900459,4.50073268082131,5.47033041854254,0,4.19981429149062,3.52890256833562,6.12073829373379,4.455172310174,3.7740160145141,4.16294538145632,4.04312255579297,3.83993068212192
"p13",4.23005617297881,4.20836766805565,3.40904562977987,3.63420281492613,3.93236913751077,4.15648758620785,5.57521314412716,3.80757863748385,4.27823483247989,4.39996770776611,4.78961839255701,4.19981429149062,0,3.78261607293911,6.45825552717371,5.14441054328312,3.79506006043037,4.37356410665692,4.24111896041597,3.95607959849322
"p14",3.59668701683744,3.52388172764858,3.35965249543776,3.76752391451749,3.58274241062831,3.6159759636347,5.34377667861943,3.43069095101356,3.49273899660904,4.155655472038,4.32934981355145,3.52890256833562,3.78261607293911,0,6.10696184995586,4.06877768249712,3.49307828046732,4.13487401999461,3.92450808803985,3.50600266374368
"p15",6.29331949818081,5.94863832511061,5.86172277812845,6.10583559210219,6.00649183074803,6.27867667128677,7.63710412912058,6.16709153370911,6.22874116799161,6.19090438894329,6.81888944341055,6.12073829373379,6.45825552717371,6.10696184995586,0,6.60064235091139,6.3513155019498,6.60799559881081,6.09629685522613,6.25716883413459
"p16",4.37938932715727,3.97484125157921,4.19070003073269,4.75351581853009,4.6445915722559,4.5416024412639,6.08392313421194,4.50943740498708,4.80430550935488,5.02086789928435,5.4520140436104,4.455172310174,5.14441054328312,4.06877768249712,6.60064235091139,0,4.8980738878903,4.76883999313389,4.48137680144611,4.42409360861541
"p17",3.78623248371376,3.87704706707761,3.44041909816203,3.60515992550705,3.49149550384044,3.92221629130795,5.51413631564852,3.83460484062163,3.7703976206827,4.33852467783555,5.15853470849335,3.7740160145141,3.79506006043037,3.49307828046732,6.3513155019498,4.8980738878903,0,4.30391250927991,4.31673379905485,3.85030995620096
"p18",4.13998499698554,3.86097334916681,3.71039555181753,4.19677976758365,4.35234356627496,4.04073927488812,5.56891668401759,4.20968663860203,4.3934954605417,4.92671484401745,4.87123033577934,4.16294538145632,4.37356410665692,4.13487401999461,6.60799559881081,4.76883999313389,4.30391250927991,0,4.10980208646125,4.02936455305814
"p19",4.08512749377189,3.56781505585925,3.41076545253558,3.87642108511637,3.90524559624284,3.85197006634487,5.52474545807554,3.85229817204963,3.82434232347275,4.38739965842616,4.72404343953185,4.04312255579297,4.24111896041597,3.92450808803985,6.09629685522613,4.48137680144611,4.31673379905485,4.10980208646125,0,3.77731881084027
"p20",4.01565582440809,3.50014220651823,3.34061949799882,3.82020487443966,3.86794187826651,4.01076027657787,5.57517069443554,3.72436818661821,3.74715817150075,4.24064290928952,5.23716852827673,3.83993068212192,3.95607959849322,3.50600266374368,6.25716883413459,4.42409360861541,3.85030995620096,4.02936455305814,3.77731881084027,0
