,S_richness,S_shannon,S_simpson,Popsize_of_Lithocarpus_xylocarpus
p01,34,2.83855418,2.597474189,52
p02,36,3.033992277,2.80878277,34
p03,35,2.706002179,2.383123489,72
p04,34,2.774550631,2.461809025,78
p05,33,2.696046188,2.282160819,64
p06,39,3.06525857,2.837975196,21
p07,31,3.009471987,2.734122441,14
p08,41,2.776525937,2.187570176,51
p09,42,2.705112,2.192942606,48
p10,28,2.72042406,2.456375799,24
p11,37,3.171314645,2.931573257,15
p12,37,2.994801296,2.721945018,26
p13,44,2.947765412,2.63149291,31
p14,35,2.559264071,2.133806705,78
p15,35,3.110603669,2.840837823,9
p16,36,2.972493061,2.728823178,21
p17,41,2.738017662,2.28544163,50
p18,38,2.740163303,2.199894806,20
p19,36,2.545859786,2.088315322,55
p20,34,2.686482267,2.371066096,77
