"","p01","p02","p03","p04","p05","p06","p07","p08","p09","p10","p11","p12","p13","p14","p15","p16","p17","p18","p19","p20"
"p01",0,0.220740740740741,0.392928619079386,0.258177570093458,0.425947187141217,0.451540195341848,0.53309481216458,0.437591776798825,0.348246674727932,0.364649681528662,0.524214103653356,0.252747252747253,0.330257086354647,0.479620323841429,0.636197440585009,0.35678391959799,0.6,0.527950310559006,0.245231607629428,0.409737827715356
"p02",0.220740740740741,0,0.40517844646606,0.390986601705238,0.458133971291866,0.405233941316416,0.469465648854962,0.501547987616099,0.42550505050505,0.426644182124789,0.510388437217706,0.298841698841699,0.358673116793366,0.58163858221964,0.599609375,0.387900355871886,0.554929577464789,0.485714285714286,0.350500715307582,0.419762845849802
"p03",0.392928619079386,0.40517844646606,0,0.458403126744835,0.364085667215815,0.570212765957447,0.593984962406015,0.419847328244275,0.439122908251587,0.441198501872659,0.576433121019108,0.380886426592798,0.469924812030075,0.535828877005348,0.655583972719523,0.484681853888452,0.609942638623327,0.606867969212552,0.494505494505495,0.473833097595474
"p04",0.258177570093458,0.390986601705238,0.458403126744835,0,0.44346116027532,0.583487369069624,0.666666666666667,0.437726723095526,0.287769784172662,0.412144702842377,0.588835942818244,0.349426674713337,0.354339414040907,0.335573691790687,0.688311688311688,0.445491251682369,0.63973063973064,0.508937960042061,0.344318181818182,0.519360786724032
"p05",0.425947187141217,0.458133971291866,0.364085667215815,0.44346116027532,0,0.704779189352692,0.726388888888889,0.435866983372922,0.397773279352227,0.638783269961977,0.742494996664443,0.544754001185536,0.513866231647635,0.546616185518221,0.783898305084746,0.659630606860158,0.58167770419426,0.626293995859213,0.477094972067039,0.554616777308389
"p06",0.451540195341848,0.405233941316416,0.570212765957447,0.583487369069624,0.704779189352692,0,0.368318756073858,0.688923802042419,0.587220447284345,0.542416452442159,0.433823529411765,0.495297805642633,0.585434173669468,0.748531139835488,0.52636815920398,0.43710407239819,0.812990720913633,0.680473372781065,0.535895576504714,0.560192616372392
"p07",0.53309481216458,0.469465648854962,0.593984962406015,0.666666666666667,0.726388888888889,0.368318756073858,0,0.684905660377358,0.622781065088757,0.475890985324948,0.421714285714286,0.555973659454374,0.626337448559671,0.770315648085964,0.472222222222222,0.491031390134529,0.811447811447811,0.769113149847095,0.612349914236707,0.641819941916747
"p08",0.437591776798825,0.501547987616099,0.419847328244275,0.437726723095526,0.435866983372922,0.688923802042419,0.684905660377358,0,0.365914786967419,0.554257095158598,0.631814119749777,0.461361897475134,0.470870459218643,0.470282746682054,0.677606177606178,0.575704225352113,0.624301675977654,0.594072164948454,0.497872340425532,0.54894283476899
"p09",0.348246674727932,0.42550505050505,0.439122908251587,0.287769784172662,0.397773279352227,0.587220447284345,0.622781065088757,0.365914786967419,0,0.471140939597315,0.600283486888731,0.468417761100688,0.442604226156482,0.453827160493827,0.698795180722892,0.504201680672269,0.657772621809745,0.646420824295011,0.446533490011751,0.55768005098789
"p10",0.364649681528662,0.426644182124789,0.441198501872659,0.412144702842377,0.638783269961977,0.542416452442159,0.475890985324948,0.554257095158598,0.471140939597315,0,0.344521224086871,0.335553705245629,0.473762010347376,0.561155500921942,0.466666666666667,0.267961165048544,0.793363499245852,0.632088520055325,0.480061349693252,0.665243381725021
